experiment	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
tdT_Expression	cluster_10_up	R-MMU-2129379	Molecules associated with elastic fibres	6/76	35/8828	4.43660363792204e-07	6.62880778842469e-06	5.49424599123472e-06	Mfap4/Ltbp1/Fn1/Ltbp3/Emilin1/Mfap2	6
tdT_Expression	cluster_10_up	R-MMU-8875878	MET promotes cell motility	6/76	36/8828	5.28776469831189e-07	7.46162351872899e-06	6.18452011498466e-06	Col11a1/Col11a2/Col1a2/Col1a1/Fn1/Col5a2	6
tdT_Expression	cluster_10_up	R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	15/76	399/8828	1.16763687698374e-06	1.56094614080985e-05	1.29378047311218e-05	Col11a1/Col11a2/Thbs4/Col1a2/Col1a1/Col6a1/Thbs2/Col6a2/Igf1/Cilp/Pdgfa/Fn1/Col5a2/Thbs3/Hbegf	15
tdT_Expression	cluster_10_up	R-MMU-2022857	Keratan sulfate degradation	4/76	13/8828	3.41981016844243e-06	4.34315891392189e-05	3.59980017730782e-05	Fmod/Kera/Prelp/Ogn	4
tdT_Expression	cluster_10_up	R-MMU-76002	Platelet activation, signaling and aggregation	11/76	241/8828	5.97492881675607e-06	7.22681866407639e-05	5.98990357569531e-05	Col1a2/Col1a1/Cd109/F2r/Sparc/Igf1/Pdgfa/Fn1/Cd9/Gng11/Timp1	11
tdT_Expression	cluster_10_up	R-MMU-6806834	Signaling by MET	6/76	73/8828	3.5922618676779e-05	0.000414742961086449	0.000343757116524201	Col11a1/Col11a2/Col1a2/Col1a1/Fn1/Col5a2	6
tdT_Expression	cluster_10_up	R-MMU-114608	Platelet degranulation 	7/76	115/8828	5.51886634747914e-05	0.000609474805330305	0.000505159391073606	Cd109/Sparc/Igf1/Pdgfa/Fn1/Cd9/Timp1	7
tdT_Expression	cluster_10_up	R-MMU-76005	Response to elevated platelet cytosolic Ca2+	7/76	120/8828	7.24072673415837e-05	0.000766310246031761	0.000635151467908629	Cd109/Sparc/Igf1/Pdgfa/Fn1/Cd9/Timp1	7
tdT_Expression	cluster_10_up	R-MMU-2022854	Keratan sulfate biosynthesis	4/76	27/8828	7.66068504528783e-05	0.000778325600601243	0.000645110319603186	Fmod/Kera/Prelp/Ogn	4
tdT_Expression	cluster_10_up	R-MMU-1638074	Keratan sulfate/keratin metabolism	4/76	33/8828	0.000171767852443546	0.00167803978925618	0.00139083281330806	Fmod/Kera/Prelp/Ogn	4
tdT_Expression	cluster_10_up	R-MMU-1630316	Glycosaminoglycan metabolism	6/76	120/8828	0.000560199446261135	0.00527002442038253	0.00436802687143185	Fmod/Kera/Dcn/Prelp/Ogn/Bgn	6
tdT_Expression	cluster_10_up	R-MMU-419037	NCAM1 interactions	3/76	20/8828	0.000629139472693929	0.00570719378800921	0.00473037197514232	Col6a1/Col6a2/Col5a2	3
tdT_Expression	cluster_10_up	R-MMU-1592389	Activation of Matrix Metalloproteinases	4/76	49/8828	0.000801484125603339	0.00701989544493959	0.0058183965561041	Ctsk/Mmp2/Mmp14/Timp1	4
tdT_Expression	cluster_10_up	R-MMU-76009	Platelet Aggregation (Plug Formation)	3/76	34/8828	0.00302896032637243	0.0249840870140711	0.02070790469463	Col1a2/Col1a1/Fn1	3
tdT_Expression	cluster_10_up	R-MMU-2022923	Dermatan sulfate biosynthesis	2/76	10/8828	0.00314760151358376	0.0249840870140711	0.02070790469463	Dcn/Bgn	2
tdT_Expression	cluster_10_up	R-MMU-75892	Platelet Adhesion to exposed collagen	2/76	10/8828	0.00314760151358376	0.0249840870140711	0.02070790469463	Col1a2/Col1a1	2
tdT_Expression	cluster_10_up	R-MMU-375165	NCAM signaling for neurite out-growth	3/76	35/8828	0.00329258679827246	0.0253429408109456	0.0210053384259806	Col6a1/Col6a2/Col5a2	3
tdT_Expression	cluster_10_up	R-MMU-430116	GP1b-IX-V activation signalling	2/76	11/8828	0.00382567207541403	0.0285800207986813	0.0236883719839878	Col1a2/Col1a1	2
tdT_Expression	cluster_10_up	R-MMU-2024101	CS/DS degradation	2/76	12/8828	0.00456528963402696	0.0331309590583671	0.027460388776102	Dcn/Bgn	2
tdT_Expression	cluster_10_up	R-MMU-2214320	Anchoring fibril formation	2/76	14/8828	0.00622485280033652	0.0439197947579299	0.0364026479551843	Col1a2/Col1a1	2
tdT_Expression	cluster_10_up	R-MMU-422475	Axon guidance	7/76	261/8828	0.00700949013507814	0.0481192025489148	0.0398833009108287	Col6a1/Col6a2/Mmp2/Ntn1/Col5a2/Dpysl3/Tubb2a	7
tdT_Expression	cluster_11_down	R-MMU-1474244	Extracellular matrix organization	51/134	271/8828	2.15514173816441e-43	7.00421064903432e-41	5.94365405683236e-41	Sparc/Serpinh1/Col3a1/Bgn/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Fbn1/Hspg2/Mmp2/Fn1/Mfap5/Dcn/Ltbp4/Col6a2/Nid1/Lum/Pcolce/Loxl1/Fbln2/Col8a1/Lox/Col4a1/Ctsk/Plod2/Col5a3/Bmp1/Col4a2/Timp1/Sdc2/Adamts2/Col14a1/Col12a1/Loxl2/Mfap2/Lama4/Ppib/Mfap4/Htra1/Col15a1/Lamb1/Lamb2/Adamts5/Col16a1/Fbln5/Tnc/Dst/Dag1/Mmp14	51
tdT_Expression	cluster_11_down	R-MMU-1474290	Collagen formation	25/134	81/8828	8.64669757182486e-27	1.40508835542154e-24	1.19233408622006e-24	Serpinh1/Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Col6a2/Pcolce/Loxl1/Col8a1/Lox/Col4a1/Plod2/Col5a3/Bmp1/Col4a2/Adamts2/Col14a1/Col12a1/Loxl2/Ppib/Col15a1/Col16a1/Dst	25
tdT_Expression	cluster_11_down	R-MMU-1650814	Collagen biosynthesis and modifying enzymes	21/134	59/8828	4.07064830305941e-24	4.40986899498102e-22	3.74213984351426e-22	Serpinh1/Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Col6a2/Pcolce/Col8a1/Col4a1/Plod2/Col5a3/Bmp1/Col4a2/Adamts2/Col14a1/Col12a1/Ppib/Col15a1/Col16a1	21
tdT_Expression	cluster_11_down	R-MMU-2022090	Assembly of collagen fibrils and other multimeric structures	20/134	57/8828	7.40374447206125e-23	6.01554238354976e-21	5.10468697810538e-21	Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Col6a2/Pcolce/Loxl1/Col8a1/Lox/Col4a1/Col5a3/Bmp1/Col4a2/Col14a1/Col12a1/Loxl2/Col15a1/Dst	20
tdT_Expression	cluster_11_down	R-MMU-1474228	Degradation of the extracellular matrix	25/134	130/8828	3.51121043613826e-21	2.28228678348987e-19	1.93670975635415e-19	Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Fbn1/Hspg2/Mmp2/Fn1/Dcn/Col6a2/Nid1/Col8a1/Col4a1/Ctsk/Col5a3/Bmp1/Col4a2/Timp1/Col12a1/Htra1/Col15a1/Adamts5/Mmp14	25
tdT_Expression	cluster_11_down	R-MMU-8948216	Collagen chain trimerization	15/134	39/8828	4.34533464650549e-18	2.3537229335238e-16	1.99732925856919e-16	Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Col6a2/Col8a1/Col4a1/Col5a3/Col4a2/Col14a1/Col12a1/Col15a1/Col16a1	15
tdT_Expression	cluster_11_down	R-MMU-3000178	ECM proteoglycans	15/134	44/8828	3.72820997559406e-17	1.73095463152581e-15	1.46885866707616e-15	Sparc/Col3a1/Bgn/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Hspg2/Fn1/Dcn/Col6a2/Col5a3/Tnc/Dag1	15
tdT_Expression	cluster_11_down	R-MMU-1442490	Collagen degradation	16/134	55/8828	5.74563646529704e-17	2.33416481402692e-15	1.98073257093135e-15	Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Mmp2/Col6a2/Col8a1/Col4a1/Ctsk/Col5a3/Col4a2/Col12a1/Col15a1/Mmp14	16
tdT_Expression	cluster_11_down	R-MMU-216083	Integrin cell surface interactions	17/134	71/8828	2.22084793901675e-16	8.01972866867161e-15	6.80540538037882e-15	Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Fbn1/Hspg2/Fn1/Col6a2/Lum/Col8a1/Col4a1/Col5a3/Col4a2/Col16a1/Tnc	17
tdT_Expression	cluster_11_down	R-MMU-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	20/134	116/8828	4.12282381133642e-16	1.33991773868434e-14	1.1370314090212e-14	Fstl1/Igfbp7/Fbn1/Fn1/Ccn1/Igfbp6/Mxra8/Calu/Timp1/Sdc2/Ckap4/Prss23/Sparcl1/Lamb1/Lamb2/Igfbp5/Tnc/Mfge8/Igfbp4/Igf1	20
tdT_Expression	cluster_11_down	R-MMU-8957275	Post-translational protein phosphorylation	18/134	110/8828	3.52816540904758e-14	1.0424125072186e-12	8.84573528392792e-13	Fstl1/Igfbp7/Fbn1/Fn1/Ccn1/Mxra8/Calu/Timp1/Sdc2/Ckap4/Prss23/Sparcl1/Lamb1/Lamb2/Igfbp5/Tnc/Mfge8/Igfbp4	18
tdT_Expression	cluster_11_down	R-MMU-2243919	Crosslinking of collagen fibrils	9/134	18/8828	1.41373711800479e-12	3.82887136126298e-11	3.24911513085312e-11	Col1a1/Col1a2/Pcolce/Loxl1/Lox/Col4a1/Bmp1/Col4a2/Loxl2	9
tdT_Expression	cluster_11_down	R-MMU-8874081	MET activates PTK2 signaling	10/134	26/8828	2.00012344077751e-12	5.00030860194378e-11	4.24317685411909e-11	Col3a1/Col5a2/Col1a1/Col1a2/Col5a1/Fn1/Col5a3/Lama4/Lamb1/Lamb2	10
tdT_Expression	cluster_11_down	R-MMU-3000171	Non-integrin membrane-ECM interactions	11/134	39/8828	7.60376241844519e-12	1.76515913285335e-10	1.4978840252877e-10	Col3a1/Col5a2/Col1a1/Col1a2/Col5a1/Hspg2/Fn1/Col4a1/Col5a3/Col4a2/Sdc2	11
tdT_Expression	cluster_11_down	R-MMU-186797	Signaling by PDGF	12/134	54/8828	1.81354831115224e-11	3.79516003585057e-10	3.22050827333717e-10	Col3a1/Col5a2/Col6a1/Col5a1/Col6a2/Col4a1/Col5a3/Thbs4/Col4a2/Thbs3/Thbs2/Plat	12
tdT_Expression	cluster_11_down	R-MMU-1566948	Elastic fibre formation	11/134	42/8828	1.86838647918797e-11	3.79516003585057e-10	3.22050827333717e-10	Fbn1/Fn1/Mfap5/Ltbp4/Loxl1/Fbln2/Lox/Loxl2/Mfap2/Mfap4/Fbln5	11
tdT_Expression	cluster_11_down	R-MMU-8875878	MET promotes cell motility	10/134	36/8828	8.41596264222342e-11	1.60893403454271e-09	1.36531406332046e-09	Col3a1/Col5a2/Col1a1/Col1a2/Col5a1/Fn1/Col5a3/Lama4/Lamb1/Lamb2	10
tdT_Expression	cluster_11_down	R-MMU-419037	NCAM1 interactions	8/134	20/8828	2.46896554244665e-10	4.45785445163978e-09	3.78285948608785e-09	Col3a1/Col5a2/Col6a1/Col5a1/Col6a2/Col4a1/Col5a3/Col4a2	8
tdT_Expression	cluster_11_down	R-MMU-375165	NCAM signaling for neurite out-growth	9/134	35/8828	1.65069108338596e-09	2.82355053737072e-08	2.39601697422228e-08	Col3a1/Col5a2/Col6a1/Col5a1/Col6a2/Sptbn1/Col4a1/Col5a3/Col4a2	9
tdT_Expression	cluster_11_down	R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	24/134	399/8828	5.46574280637349e-09	8.88183206035692e-08	7.53697165931502e-08	Col3a1/Col5a2/Col1a1/Col1a2/Col6a1/Col5a1/Fn1/Col6a2/Nedd4/Cilp/Col4a1/Grb10/Col5a3/Thbs4/Col4a2/Thbs3/Thbs2/Lama4/Fgfr1/Plat/Lamb1/Lamb2/Cav1/Igf1	24
tdT_Expression	cluster_11_down	R-MMU-2129379	Molecules associated with elastic fibres	8/134	35/8828	3.8091196641804e-08	5.89506614694586e-07	5.00245289230709e-07	Fbn1/Fn1/Mfap5/Ltbp4/Fbln2/Mfap2/Mfap4/Fbln5	8
tdT_Expression	cluster_11_down	R-MMU-422475	Axon guidance	18/134	261/8828	7.0437211464456e-08	1.04054971481583e-06	8.82992794434808e-07	Col3a1/Col5a2/Col6a1/Col5a1/Mmp2/Col6a2/Sptbn1/Tuba1a/Col4a1/Grb10/Col5a3/Col4a2/Sdc2/Fgfr1/Cxcl12/Dpysl3/Dag1/Rhoc	18
